"(0, 0)",0.0046
"(0, 1)",0.0044
"(0, 2)",0.0041
"(0, 3)",0.0041
"(0, 4)",0.0044
"(0, 5)",0.0045
"(0, 6)",0.0047
"(0, 7)",0.0047
"(0, 8)",0.0048
"(0, 9)",0.005
"(0, 10)",0.0053
"(0, 11)",0.006
"(0, 12)",0.0069
"(0, 13)",0.0077
"(0, 14)",0.0082
"(0, 15)",0.0085
"(0, 16)",0.0085
"(0, 17)",0.0082
"(0, 18)",0.0077
"(0, 19)",0.0069
"(0, 20)",0.006
"(0, 21)",0.0053
"(0, 22)",0.005
"(0, 23)",0.0048
"(0, 24)",0.0047
"(0, 25)",0.0047
"(0, 26)",0.0045
"(0, 27)",0.0044
"(0, 28)",0.0041
"(0, 29)",0.0041
"(0, 30)",0.0044
"(0, 31)",0.0046
"(1, 0)",0.0046
"(1, 1)",0.0044
"(1, 2)",0.0042
"(1, 3)",0.0042
"(1, 4)",0.0045
"(1, 5)",0.0047
"(1, 6)",0.0049
"(1, 7)",0.005
"(1, 8)",0.005
"(1, 9)",0.0052
"(1, 10)",0.0057
"(1, 11)",0.0062
"(1, 12)",0.0069
"(1, 13)",0.0075
"(1, 14)",0.008
"(1, 15)",0.0083
"(1, 16)",0.0083
"(1, 17)",0.008
"(1, 18)",0.0075
"(1, 19)",0.0069
"(1, 20)",0.0062
"(1, 21)",0.0057
"(1, 22)",0.0052
"(1, 23)",0.005
"(1, 24)",0.005
"(1, 25)",0.0049
"(1, 26)",0.0047
"(1, 27)",0.0045
"(1, 28)",0.0042
"(1, 29)",0.0042
"(1, 30)",0.0044
"(1, 31)",0.0046
"(2, 0)",0.0045
"(2, 1)",0.0045
"(2, 2)",0.0044
"(2, 3)",0.0045
"(2, 4)",0.0048
"(2, 5)",0.0051
"(2, 6)",0.0053
"(2, 7)",0.0054
"(2, 8)",0.0055
"(2, 9)",0.0058
"(2, 10)",0.0063
"(2, 11)",0.0067
"(2, 12)",0.0069
"(2, 13)",0.0072
"(2, 14)",0.0075
"(2, 15)",0.0077
"(2, 16)",0.0077
"(2, 17)",0.0075
"(2, 18)",0.0072
"(2, 19)",0.0069
"(2, 20)",0.0067
"(2, 21)",0.0063
"(2, 22)",0.0058
"(2, 23)",0.0055
"(2, 24)",0.0054
"(2, 25)",0.0053
"(2, 26)",0.0051
"(2, 27)",0.0048
"(2, 28)",0.0045
"(2, 29)",0.0044
"(2, 30)",0.0045
"(2, 31)",0.0045
"(3, 0)",0.0046
"(3, 1)",0.0046
"(3, 2)",0.0047
"(3, 3)",0.0049
"(3, 4)",0.0052
"(3, 5)",0.0054
"(3, 6)",0.0056
"(3, 7)",0.0057
"(3, 8)",0.0059
"(3, 9)",0.0062
"(3, 10)",0.0067
"(3, 11)",0.007
"(3, 12)",0.0071
"(3, 13)",0.0072
"(3, 14)",0.0075
"(3, 15)",0.0076
"(3, 16)",0.0076
"(3, 17)",0.0075
"(3, 18)",0.0072
"(3, 19)",0.0071
"(3, 20)",0.007
"(3, 21)",0.0067
"(3, 22)",0.0062
"(3, 23)",0.0059
"(3, 24)",0.0057
"(3, 25)",0.0056
"(3, 26)",0.0054
"(3, 27)",0.0052
"(3, 28)",0.0049
"(3, 29)",0.0047
"(3, 30)",0.0046
"(3, 31)",0.0046
"(4, 0)",0.0048
"(4, 1)",0.0049
"(4, 2)",0.0052
"(4, 3)",0.0054
"(4, 4)",0.0056
"(4, 5)",0.0057
"(4, 6)",0.0057
"(4, 7)",0.0059
"(4, 8)",0.0062
"(4, 9)",0.0065
"(4, 10)",0.0068
"(4, 11)",0.0071
"(4, 12)",0.0074
"(4, 13)",0.0076
"(4, 14)",0.0078
"(4, 15)",0.0079
"(4, 16)",0.0079
"(4, 17)",0.0078
"(4, 18)",0.0076
"(4, 19)",0.0074
"(4, 20)",0.0071
"(4, 21)",0.0068
"(4, 22)",0.0065
"(4, 23)",0.0062
"(4, 24)",0.0059
"(4, 25)",0.0057
"(4, 26)",0.0057
"(4, 27)",0.0056
"(4, 28)",0.0054
"(4, 29)",0.0052
"(4, 30)",0.0049
"(4, 31)",0.0048
"(5, 0)",0.0051
"(5, 1)",0.0052
"(5, 2)",0.0056
"(5, 3)",0.0058
"(5, 4)",0.006
"(5, 5)",0.006
"(5, 6)",0.006
"(5, 7)",0.0062
"(5, 8)",0.0066
"(5, 9)",0.0069
"(5, 10)",0.0071
"(5, 11)",0.0074
"(5, 12)",0.0077
"(5, 13)",0.0079
"(5, 14)",0.0081
"(5, 15)",0.0082
"(5, 16)",0.0082
"(5, 17)",0.0081
"(5, 18)",0.0079
"(5, 19)",0.0077
"(5, 20)",0.0074
"(5, 21)",0.0071
"(5, 22)",0.0069
"(5, 23)",0.0066
"(5, 24)",0.0062
"(5, 25)",0.006
"(5, 26)",0.006
"(5, 27)",0.006
"(5, 28)",0.0058
"(5, 29)",0.0056
"(5, 30)",0.0052
"(5, 31)",0.0051
"(6, 0)",0.0054
"(6, 1)",0.0055
"(6, 2)",0.0058
"(6, 3)",0.0061
"(6, 4)",0.0062
"(6, 5)",0.0063
"(6, 6)",0.0064
"(6, 7)",0.0067
"(6, 8)",0.0071
"(6, 9)",0.0074
"(6, 10)",0.0076
"(6, 11)",0.0078
"(6, 12)",0.008
"(6, 13)",0.0082
"(6, 14)",0.0084
"(6, 15)",0.0085
"(6, 16)",0.0085
"(6, 17)",0.0084
"(6, 18)",0.0082
"(6, 19)",0.008
"(6, 20)",0.0078
"(6, 21)",0.0076
"(6, 22)",0.0074
"(6, 23)",0.0071
"(6, 24)",0.0067
"(6, 25)",0.0064
"(6, 26)",0.0063
"(6, 27)",0.0062
"(6, 28)",0.0061
"(6, 29)",0.0058
"(6, 30)",0.0055
"(6, 31)",0.0054
"(7, 0)",0.0057
"(7, 1)",0.0058
"(7, 2)",0.006
"(7, 3)",0.0062
"(7, 4)",0.0064
"(7, 5)",0.0066
"(7, 6)",0.0067
"(7, 7)",0.007
"(7, 8)",0.0074
"(7, 9)",0.0077
"(7, 10)",0.0079
"(7, 11)",0.008
"(7, 12)",0.0082
"(7, 13)",0.0083
"(7, 14)",0.0084
"(7, 15)",0.0085
"(7, 16)",0.0085
"(7, 17)",0.0084
"(7, 18)",0.0083
"(7, 19)",0.0082
"(7, 20)",0.008
"(7, 21)",0.0079
"(7, 22)",0.0077
"(7, 23)",0.0074
"(7, 24)",0.007
"(7, 25)",0.0067
"(7, 26)",0.0066
"(7, 27)",0.0064
"(7, 28)",0.0062
"(7, 29)",0.006
"(7, 30)",0.0058
"(7, 31)",0.0057
"(8, 0)",0.0059
"(8, 1)",0.006
"(8, 2)",0.0061
"(8, 3)",0.0062
"(8, 4)",0.0065
"(8, 5)",0.0067
"(8, 6)",0.0068
"(8, 7)",0.007
"(8, 8)",0.0074
"(8, 9)",0.0077
"(8, 10)",0.0079
"(8, 11)",0.0081
"(8, 12)",0.0081
"(8, 13)",0.0081
"(8, 14)",0.0082
"(8, 15)",0.0083
"(8, 16)",0.0083
"(8, 17)",0.0082
"(8, 18)",0.0081
"(8, 19)",0.0081
"(8, 20)",0.0081
"(8, 21)",0.0079
"(8, 22)",0.0077
"(8, 23)",0.0074
"(8, 24)",0.007
"(8, 25)",0.0068
"(8, 26)",0.0067
"(8, 27)",0.0065
"(8, 28)",0.0062
"(8, 29)",0.0061
"(8, 30)",0.006
"(8, 31)",0.0059
"(9, 0)",0.0062
"(9, 1)",0.0062
"(9, 2)",0.0063
"(9, 3)",0.0064
"(9, 4)",0.0067
"(9, 5)",0.0069
"(9, 6)",0.007
"(9, 7)",0.0072
"(9, 8)",0.0076
"(9, 9)",0.0078
"(9, 10)",0.0081
"(9, 11)",0.0082
"(9, 12)",0.0082
"(9, 13)",0.0082
"(9, 14)",0.0083
"(9, 15)",0.0083
"(9, 16)",0.0083
"(9, 17)",0.0083
"(9, 18)",0.0082
"(9, 19)",0.0082
"(9, 20)",0.0082
"(9, 21)",0.0081
"(9, 22)",0.0078
"(9, 23)",0.0076
"(9, 24)",0.0072
"(9, 25)",0.007
"(9, 26)",0.0069
"(9, 27)",0.0067
"(9, 28)",0.0064
"(9, 29)",0.0063
"(9, 30)",0.0062
"(9, 31)",0.0062
"(10, 0)",0.0066
"(10, 1)",0.0066
"(10, 2)",0.0067
"(10, 3)",0.0068
"(10, 4)",0.007
"(10, 5)",0.0072
"(10, 6)",0.0075
"(10, 7)",0.0077
"(10, 8)",0.0079
"(10, 9)",0.0081
"(10, 10)",0.0083
"(10, 11)",0.0084
"(10, 12)",0.0085
"(10, 13)",0.0086
"(10, 14)",0.0085
"(10, 15)",0.0085
"(10, 16)",0.0085
"(10, 17)",0.0085
"(10, 18)",0.0086
"(10, 19)",0.0085
"(10, 20)",0.0084
"(10, 21)",0.0083
"(10, 22)",0.0081
"(10, 23)",0.0079
"(10, 24)",0.0077
"(10, 25)",0.0075
"(10, 26)",0.0072
"(10, 27)",0.007
"(10, 28)",0.0068
"(10, 29)",0.0067
"(10, 30)",0.0066
"(10, 31)",0.0066
"(11, 0)",0.0068
"(11, 1)",0.0069
"(11, 2)",0.007
"(11, 3)",0.0072
"(11, 4)",0.0073
"(11, 5)",0.0075
"(11, 6)",0.0078
"(11, 7)",0.008
"(11, 8)",0.0082
"(11, 9)",0.0084
"(11, 10)",0.0086
"(11, 11)",0.0087
"(11, 12)",0.0089
"(11, 13)",0.0089
"(11, 14)",0.0088
"(11, 15)",0.0088
"(11, 16)",0.0088
"(11, 17)",0.0088
"(11, 18)",0.0089
"(11, 19)",0.0089
"(11, 20)",0.0087
"(11, 21)",0.0086
"(11, 22)",0.0084
"(11, 23)",0.0082
"(11, 24)",0.008
"(11, 25)",0.0078
"(11, 26)",0.0075
"(11, 27)",0.0073
"(11, 28)",0.0072
"(11, 29)",0.007
"(11, 30)",0.0069
"(11, 31)",0.0068
"(12, 0)",0.0071
"(12, 1)",0.0072
"(12, 2)",0.0074
"(12, 3)",0.0075
"(12, 4)",0.0077
"(12, 5)",0.0079
"(12, 6)",0.008
"(12, 7)",0.0082
"(12, 8)",0.0085
"(12, 9)",0.0088
"(12, 10)",0.0089
"(12, 11)",0.0091
"(12, 12)",0.0093
"(12, 13)",0.0093
"(12, 14)",0.0092
"(12, 15)",0.0092
"(12, 16)",0.0092
"(12, 17)",0.0092
"(12, 18)",0.0093
"(12, 19)",0.0093
"(12, 20)",0.0091
"(12, 21)",0.0089
"(12, 22)",0.0088
"(12, 23)",0.0085
"(12, 24)",0.0082
"(12, 25)",0.008
"(12, 26)",0.0079
"(12, 27)",0.0077
"(12, 28)",0.0075
"(12, 29)",0.0074
"(12, 30)",0.0072
"(12, 31)",0.0071
"(13, 0)",0.0072
"(13, 1)",0.0074
"(13, 2)",0.0076
"(13, 3)",0.0079
"(13, 4)",0.008
"(13, 5)",0.0082
"(13, 6)",0.0083
"(13, 7)",0.0085
"(13, 8)",0.0088
"(13, 9)",0.0091
"(13, 10)",0.0093
"(13, 11)",0.0095
"(13, 12)",0.0096
"(13, 13)",0.0096
"(13, 14)",0.0096
"(13, 15)",0.0095
"(13, 16)",0.0095
"(13, 17)",0.0096
"(13, 18)",0.0096
"(13, 19)",0.0096
"(13, 20)",0.0095
"(13, 21)",0.0093
"(13, 22)",0.0091
"(13, 23)",0.0088
"(13, 24)",0.0085
"(13, 25)",0.0083
"(13, 26)",0.0082
"(13, 27)",0.008
"(13, 28)",0.0079
"(13, 29)",0.0076
"(13, 30)",0.0074
"(13, 31)",0.0072
"(14, 0)",0.0073
"(14, 1)",0.0075
"(14, 2)",0.0079
"(14, 3)",0.0082
"(14, 4)",0.0083
"(14, 5)",0.0085
"(14, 6)",0.0087
"(14, 7)",0.009
"(14, 8)",0.0092
"(14, 9)",0.0094
"(14, 10)",0.0096
"(14, 11)",0.0098
"(14, 12)",0.0099
"(14, 13)",0.0099
"(14, 14)",0.0099
"(14, 15)",0.0099
"(14, 16)",0.0099
"(14, 17)",0.0099
"(14, 18)",0.0099
"(14, 19)",0.0099
"(14, 20)",0.0098
"(14, 21)",0.0096
"(14, 22)",0.0094
"(14, 23)",0.0092
"(14, 24)",0.009
"(14, 25)",0.0087
"(14, 26)",0.0085
"(14, 27)",0.0083
"(14, 28)",0.0082
"(14, 29)",0.0079
"(14, 30)",0.0075
"(14, 31)",0.0073
"(15, 0)",0.0077
"(15, 1)",0.0079
"(15, 2)",0.0083
"(15, 3)",0.0085
"(15, 4)",0.0087
"(15, 5)",0.0089
"(15, 6)",0.0091
"(15, 7)",0.0094
"(15, 8)",0.0095
"(15, 9)",0.0097
"(15, 10)",0.01
"(15, 11)",0.0101
"(15, 12)",0.0102
"(15, 13)",0.0103
"(15, 14)",0.0103
"(15, 15)",0.0103
"(15, 16)",0.0103
"(15, 17)",0.0103
"(15, 18)",0.0103
"(15, 19)",0.0102
"(15, 20)",0.0101
"(15, 21)",0.01
"(15, 22)",0.0097
"(15, 23)",0.0095
"(15, 24)",0.0094
"(15, 25)",0.0091
"(15, 26)",0.0089
"(15, 27)",0.0087
"(15, 28)",0.0085
"(15, 29)",0.0083
"(15, 30)",0.0079
"(15, 31)",0.0077
"(16, 0)",0.0082
"(16, 1)",0.0084
"(16, 2)",0.0087
"(16, 3)",0.0089
"(16, 4)",0.0092
"(16, 5)",0.0094
"(16, 6)",0.0096
"(16, 7)",0.0098
"(16, 8)",0.01
"(16, 9)",0.0102
"(16, 10)",0.0103
"(16, 11)",0.0105
"(16, 12)",0.0106
"(16, 13)",0.0107
"(16, 14)",0.0108
"(16, 15)",0.0108
"(16, 16)",0.0108
"(16, 17)",0.0108
"(16, 18)",0.0107
"(16, 19)",0.0106
"(16, 20)",0.0105
"(16, 21)",0.0103
"(16, 22)",0.0102
"(16, 23)",0.01
"(16, 24)",0.0098
"(16, 25)",0.0096
"(16, 26)",0.0094
"(16, 27)",0.0092
"(16, 28)",0.0089
"(16, 29)",0.0087
"(16, 30)",0.0084
"(16, 31)",0.0082
"(17, 0)",0.0086
"(17, 1)",0.0087
"(17, 2)",0.009
"(17, 3)",0.0092
"(17, 4)",0.0095
"(17, 5)",0.0098
"(17, 6)",0.01
"(17, 7)",0.0102
"(17, 8)",0.0104
"(17, 9)",0.0106
"(17, 10)",0.0107
"(17, 11)",0.0109
"(17, 12)",0.0111
"(17, 13)",0.0112
"(17, 14)",0.0112
"(17, 15)",0.0112
"(17, 16)",0.0112
"(17, 17)",0.0112
"(17, 18)",0.0112
"(17, 19)",0.0111
"(17, 20)",0.0109
"(17, 21)",0.0107
"(17, 22)",0.0106
"(17, 23)",0.0104
"(17, 24)",0.0102
"(17, 25)",0.01
"(17, 26)",0.0098
"(17, 27)",0.0095
"(17, 28)",0.0092
"(17, 29)",0.009
"(17, 30)",0.0087
"(17, 31)",0.0086
"(18, 0)",0.0088
"(18, 1)",0.009
"(18, 2)",0.0092
"(18, 3)",0.0094
"(18, 4)",0.0097
"(18, 5)",0.01
"(18, 6)",0.0103
"(18, 7)",0.0106
"(18, 8)",0.0107
"(18, 9)",0.0109
"(18, 10)",0.0113
"(18, 11)",0.0115
"(18, 12)",0.0116
"(18, 13)",0.0116
"(18, 14)",0.0115
"(18, 15)",0.0114
"(18, 16)",0.0114
"(18, 17)",0.0115
"(18, 18)",0.0116
"(18, 19)",0.0116
"(18, 20)",0.0115
"(18, 21)",0.0113
"(18, 22)",0.0109
"(18, 23)",0.0107
"(18, 24)",0.0106
"(18, 25)",0.0103
"(18, 26)",0.01
"(18, 27)",0.0097
"(18, 28)",0.0094
"(18, 29)",0.0092
"(18, 30)",0.009
"(18, 31)",0.0088
"(19, 0)",0.0092
"(19, 1)",0.0093
"(19, 2)",0.0095
"(19, 3)",0.0098
"(19, 4)",0.0101
"(19, 5)",0.0104
"(19, 6)",0.0108
"(19, 7)",0.0111
"(19, 8)",0.0112
"(19, 9)",0.0114
"(19, 10)",0.0117
"(19, 11)",0.0119
"(19, 12)",0.0121
"(19, 13)",0.0121
"(19, 14)",0.0119
"(19, 15)",0.0118
"(19, 16)",0.0118
"(19, 17)",0.0119
"(19, 18)",0.0121
"(19, 19)",0.0121
"(19, 20)",0.0119
"(19, 21)",0.0117
"(19, 22)",0.0114
"(19, 23)",0.0112
"(19, 24)",0.0111
"(19, 25)",0.0108
"(19, 26)",0.0104
"(19, 27)",0.0101
"(19, 28)",0.0098
"(19, 29)",0.0095
"(19, 30)",0.0093
"(19, 31)",0.0092
"(20, 0)",0.0096
"(20, 1)",0.0097
"(20, 2)",0.0101
"(20, 3)",0.0104
"(20, 4)",0.0107
"(20, 5)",0.0111
"(20, 6)",0.0115
"(20, 7)",0.0117
"(20, 8)",0.0119
"(20, 9)",0.012
"(20, 10)",0.0121
"(20, 11)",0.0123
"(20, 12)",0.0125
"(20, 13)",0.0126
"(20, 14)",0.0125
"(20, 15)",0.0124
"(20, 16)",0.0124
"(20, 17)",0.0125
"(20, 18)",0.0126
"(20, 19)",0.0125
"(20, 20)",0.0123
"(20, 21)",0.0121
"(20, 22)",0.012
"(20, 23)",0.0119
"(20, 24)",0.0117
"(20, 25)",0.0115
"(20, 26)",0.0111
"(20, 27)",0.0107
"(20, 28)",0.0104
"(20, 29)",0.0101
"(20, 30)",0.0097
"(20, 31)",0.0096
"(21, 0)",0.01
"(21, 1)",0.0102
"(21, 2)",0.0106
"(21, 3)",0.0109
"(21, 4)",0.0113
"(21, 5)",0.0116
"(21, 6)",0.0119
"(21, 7)",0.0122
"(21, 8)",0.0124
"(21, 9)",0.0125
"(21, 10)",0.0126
"(21, 11)",0.0128
"(21, 12)",0.013
"(21, 13)",0.0131
"(21, 14)",0.013
"(21, 15)",0.013
"(21, 16)",0.013
"(21, 17)",0.013
"(21, 18)",0.0131
"(21, 19)",0.013
"(21, 20)",0.0128
"(21, 21)",0.0126
"(21, 22)",0.0125
"(21, 23)",0.0124
"(21, 24)",0.0122
"(21, 25)",0.0119
"(21, 26)",0.0116
"(21, 27)",0.0113
"(21, 28)",0.0109
"(21, 29)",0.0106
"(21, 30)",0.0102
"(21, 31)",0.01
"(22, 0)",0.0104
"(22, 1)",0.0106
"(22, 2)",0.0111
"(22, 3)",0.0114
"(22, 4)",0.0117
"(22, 5)",0.012
"(22, 6)",0.0123
"(22, 7)",0.0125
"(22, 8)",0.0128
"(22, 9)",0.0131
"(22, 10)",0.0132
"(22, 11)",0.0134
"(22, 12)",0.0136
"(22, 13)",0.0137
"(22, 14)",0.0136
"(22, 15)",0.0136
"(22, 16)",0.0136
"(22, 17)",0.0136
"(22, 18)",0.0137
"(22, 19)",0.0136
"(22, 20)",0.0134
"(22, 21)",0.0132
"(22, 22)",0.0131
"(22, 23)",0.0128
"(22, 24)",0.0125
"(22, 25)",0.0123
"(22, 26)",0.012
"(22, 27)",0.0117
"(22, 28)",0.0114
"(22, 29)",0.0111
"(22, 30)",0.0106
"(22, 31)",0.0104
"(23, 0)",0.011
"(23, 1)",0.0112
"(23, 2)",0.0115
"(23, 3)",0.0118
"(23, 4)",0.0121
"(23, 5)",0.0124
"(23, 6)",0.0125
"(23, 7)",0.0128
"(23, 8)",0.0132
"(23, 9)",0.0136
"(23, 10)",0.0138
"(23, 11)",0.014
"(23, 12)",0.0141
"(23, 13)",0.014
"(23, 14)",0.0138
"(23, 15)",0.0137
"(23, 16)",0.0137
"(23, 17)",0.0138
"(23, 18)",0.014
"(23, 19)",0.0141
"(23, 20)",0.014
"(23, 21)",0.0138
"(23, 22)",0.0136
"(23, 23)",0.0132
"(23, 24)",0.0128
"(23, 25)",0.0125
"(23, 26)",0.0124
"(23, 27)",0.0121
"(23, 28)",0.0118
"(23, 29)",0.0115
"(23, 30)",0.0112
"(23, 31)",0.011
"(24, 0)",0.0117
"(24, 1)",0.0118
"(24, 2)",0.0119
"(24, 3)",0.0122
"(24, 4)",0.0125
"(24, 5)",0.0127
"(24, 6)",0.0127
"(24, 7)",0.0131
"(24, 8)",0.0136
"(24, 9)",0.0141
"(24, 10)",0.0145
"(24, 11)",0.0146
"(24, 12)",0.0145
"(24, 13)",0.0142
"(24, 14)",0.0136
"(24, 15)",0.0133
"(24, 16)",0.0133
"(24, 17)",0.0136
"(24, 18)",0.0142
"(24, 19)",0.0145
"(24, 20)",0.0146
"(24, 21)",0.0145
"(24, 22)",0.0141
"(24, 23)",0.0136
"(24, 24)",0.0131
"(24, 25)",0.0127
"(24, 26)",0.0127
"(24, 27)",0.0125
"(24, 28)",0.0122
"(24, 29)",0.0119
"(24, 30)",0.0118
"(24, 31)",0.0117
"(25, 0)",0.0123
"(25, 1)",0.0123
"(25, 2)",0.0124
"(25, 3)",0.0126
"(25, 4)",0.0129
"(25, 5)",0.0131
"(25, 6)",0.0132
"(25, 7)",0.0136
